Date,Name,Year,Letterboxd URI,Rating
2020-05-25,Perfect Blue,1997,https://boxd.it/1W7A,4
2020-05-26,A Man Amidst Bees,2015,https://boxd.it/8c40,4
2020-05-28,Saliva,2007,https://boxd.it/2OJo,4
2020-06-29,Uncut Gems,2019,https://boxd.it/gXGc,4
2020-06-29,Naked,2017,https://boxd.it/fmDe,4
2020-07-06,Superbad,2007,https://boxd.it/20hO,3
2020-07-06,The Truman Show,1998,https://boxd.it/18U8,4
2020-07-10,Coffee with Cinnamon,2017,https://boxd.it/gQd8,4
2020-07-13,The Holiday,2006,https://boxd.it/28ye,4
2020-08-10,Shark Tale,2004,https://boxd.it/1VYe,3
2020-08-26,Dunkirk,2017,https://boxd.it/d0Y6,3
2020-10-19,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2020-11-22,Shrek,2001,https://boxd.it/29zi,4
2021-01-30,Muppets Most Wanted,2014,https://boxd.it/4Cti,4
2021-01-30,Inception,2010,https://boxd.it/1skk,3
2021-02-27,Twilight,2008,https://boxd.it/1Zui,4
2021-02-27,Runaway,2010,https://boxd.it/Jjc,3
2021-02-28,Spider-Man,2002,https://boxd.it/2a8i,4
2021-03-03,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2021-03-06,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,3
2021-03-19,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,3
2021-03-25,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,4
2021-03-25,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/DdC,4
2021-04-03,Shrek the Third,2007,https://boxd.it/29yY,4
2021-04-03,Shrek the Halls,2007,https://boxd.it/1QgG,3
2021-04-03,Shrek Forever After,2010,https://boxd.it/1WRo,3
2021-04-13,Space Jam,1996,https://boxd.it/26YO,4
2021-05-26,Project Almanac,2015,https://boxd.it/6IP4,3
2021-06-04,Cosmopolis,2012,https://boxd.it/H4O,4
2021-06-12,Closer,2004,https://boxd.it/270K,3
2021-06-28,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,https://boxd.it/2ql8,4
2021-07-01,La La Land,2016,https://boxd.it/a5fa,4
2021-07-19,High School Musical 2,2007,https://boxd.it/1PIu,4
2021-08-05,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,4
2021-08-14,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/1MKi,4
2021-08-24,Spider-Man 2,2004,https://boxd.it/2a88,4
2021-08-29,Ready Player One,2018,https://boxd.it/aZes,4
2021-09-07,Rashomon,1950,https://boxd.it/2a9K,4
2021-09-07,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4
